obips_rss,obips_vsz,obis_rss,obis_vsz,obijh_rss,obijh_vsz,biresults_rss,biresults_vsz,machineMemory
1559.9375,5988.58984375,367.3828125,5084.63671875,390.921875,6062.42578125,3650.88671875,19710.4765625,12067.8125
1560.00390625,5988.77734375,367.37109375,5042.0,386.40625,6062.42578125,3643.875,19710.4765625,12066.375
1560.203125,5988.91796875,367.4609375,5042.0,416.6015625,6062.42578125,3632.91796875,19710.4765625,12052.83984375
1560.30078125,5988.96484375,367.45703125,5042.0,414.828125,6062.42578125,3628.91796875,19710.4765625,12042.02734375
1560.40625,5989.05859375,367.46484375,5042.0,432.24609375,6062.42578125,3622.40625,19710.4765625,12064.51953125
1560.40625,5989.10546875,367.4609375,5084.91796875,440.7578125,6062.42578125,3616.58203125,19710.4765625,12052.5
1560.46875,5989.15234375,367.4453125,5042.0,431.73046875,6062.42578125,3633.9375,19710.4765625,12063.74609375
1560.7578125,5989.26171875,367.4609375,5084.91796875,424.71484375,6062.42578125,3635.69140625,19710.4765625,12057.109375
1560.8046875,5989.26171875,367.46484375,5042.0,418.203125,6062.42578125,3661.0546875,19710.4765625,12067.19140625
1560.86328125,5989.26171875,367.453125,5042.0,434.8515625,6062.42578125,3690.37890625,19710.4765625,12072.43359375
1560.8671875,5989.29296875,367.515625,5042.046875,460.37890625,6062.42578125,3692.859375,19710.4765625,12089.84765625
1560.87109375,5989.29296875,367.5078125,5042.046875,482.84375,6062.42578125,3722.8984375,19710.4765625,12085.70703125
1560.98046875,5989.29296875,367.51171875,5042.046875,478.8359375,6062.42578125,3750.1171875,19710.4765625,12139.66015625
1561.09765625,5989.29296875,367.5078125,5042.046875,469.921875,6062.42578125,3752.8515625,19710.4765625,12193.40625
1561.1015625,5989.29296875,367.51171875,5042.046875,466.41796875,6062.42578125,3783.33984375,19710.4765625,12217.83984375
1561.1015625,5989.29296875,367.53125,5042.078125,461.18359375,6062.42578125,3784.6328125,19710.4765625,12237.83984375
1561.10546875,6054.453125,367.546875,5042.078125,450.66015625,6062.42578125,3814.6875,19710.4765625,12236.421875
1561.61328125,6055.453125,367.55078125,5084.99609375,438.4765625,6062.42578125,3852.109375,19710.4765625,12262.76953125
1562.08203125,6055.5,367.5390625,5042.078125,430.71875,6062.42578125,3852.8984375,19710.4765625,12256.21875
1562.3203125,6055.609375,367.55078125,5042.078125,421.203125,6062.42578125,3885.2890625,19710.4765625,12275.97265625
1562.40625,6055.609375,367.54296875,5042.078125,417.84765625,6062.42578125,3886.9140625,19710.4765625,12305.24609375
1562.50390625,6055.609375,367.546875,5042.078125,487.8828125,6062.42578125,3923.16796875,19710.4765625,12300.3046875
1562.5546875,6055.671875,367.54296875,5042.078125,494.55859375,6062.42578125,3924.0703125,19710.4765625,12319.02734375
1562.6953125,6055.703125,367.578125,5042.109375,495.8515625,6062.42578125,3959.53515625,19710.4765625,12314.36328125
1562.6953125,6055.8125,367.5859375,5042.109375,492.23828125,6062.42578125,3961.96875,19710.4765625,12398.765625
1562.75,6055.90625,367.59765625,5042.109375,490.640625,6062.42578125,3999.421875,19710.4765625,12427.7734375
1562.87109375,6055.953125,367.59375,5085.02734375,493.0390625,6062.42578125,4000.4609375,19710.4765625,12464.8359375
1563.04296875,6056.5,367.5859375,5042.109375,485.19140625,6062.42578125,4046.1015625,19710.4765625,12466.4375
1563.36328125,6056.875,367.59375,5042.109375,477.17578125,6062.42578125,4046.10546875,19710.4765625,12506.5078125
1564.19140625,6057.66015625,367.58984375,5042.109375,471.921875,6062.42578125,4079.31640625,19710.4765625,12502.58203125
1565.03125,6058.70703125,367.59765625,5042.109375,466.9296875,6062.42578125,4080.28125,19710.4765625,12552.39453125
1565.47265625,6058.72265625,367.58984375,5042.109375,458.9140625,6062.42578125,4124.01171875,19710.4765625,12546.53515625
1567.6015625,6060.8046875,367.58984375,5042.109375,450.3984375,6062.42578125,4116.890625,19710.4765625,12570.98828125
1567.8515625,6060.8046875,367.59375,5042.109375,447.57421875,6062.42578125,4124.265625,19710.4765625,12567.2421875
1568.12109375,6060.8359375,367.8515625,5043.11328125,437.8125,6062.42578125,4100.953125,19710.4765625,12563.02734375
1568.3125,6060.8359375,367.83984375,5086.03125,429.796875,6062.42578125,4109.55078125,19710.4765625,12599.609375
1568.33203125,6060.8359375,367.83984375,5043.11328125,422.0390625,6062.42578125,4081.41796875,19710.4765625,12586.56640625
1568.3984375,6060.8359375,367.8515625,5043.11328125,458.08203125,6062.42578125,4085.25,19710.4765625,12590.79296875
1568.40625,6060.8359375,367.85546875,5043.12890625,520.62109375,6062.42578125,4060.25,19710.4765625,12561.4609375
1568.4140625,6060.8359375,367.86328125,5043.25390625,512.98828125,6062.42578125,4064.37109375,19710.4765625,12559.8046875
1568.41796875,6060.8359375,367.9140625,5043.25390625,508.234375,6062.42578125,4036.76171875,19710.4765625,12523.796875
1568.43359375,6060.8359375,367.95703125,5043.31640625,503.203125,6062.42578125,4043.0859375,19710.4765625,12558.98046875
1568.46484375,6060.8984375,367.984375,5043.31640625,502.8203125,6062.42578125,4017.14453125,19710.4765625,12619.859375
1568.46484375,6060.8984375,367.984375,5043.31640625,495.30859375,6062.42578125,4023.49609375,19710.4765625,12600.12890625
1568.51953125,6060.8984375,367.984375,5043.31640625,492.046875,6062.42578125,4002.1015625,19710.4765625,12597.0390625
1568.5234375,6060.9609375,368.03125,5086.234375,484.81640625,6062.42578125,4007.734375,19710.4765625,12561.46484375
1568.55859375,6060.9921875,368.0390625,5043.31640625,483.62890625,6062.42578125,3983.1640625,19710.4765625,12563.34765625
1568.625,6061.1171875,368.0390625,5043.31640625,474.3515625,6062.42578125,3972.2421875,19710.4765625,12539.76171875
1568.69140625,6061.1484375,368.04296875,5043.31640625,461.0703125,6062.42578125,3972.2421875,19710.4765625,12539.171875
1568.765625,6061.1484375,368.0390625,5043.31640625,450.5625,6062.42578125,3972.2421875,19710.4765625,12513.0546875
1568.8828125,6061.1484375,368.02734375,5043.31640625,438.546875,6062.42578125,3959.25,19710.4765625,12513.64453125
1568.88671875,6061.1484375,368.03125,5043.31640625,428.78125,6062.42578125,3938.484375,19710.4765625,12487.35546875
1568.93359375,6061.2890625,368.015625,5043.31640625,454.953125,6062.42578125,3945.41015625,19710.4765625,12488.50390625
1569.03125,6061.3359375,368.03125,5043.31640625,502.6640625,6062.42578125,3927.671875,19710.4765625,12455.16015625
1569.0390625,6061.3359375,368.03515625,5043.31640625,544.02734375,6062.42578125,3933.55078125,19710.4765625,12448.6171875
1569.10546875,6061.3359375,368.03515625,5043.31640625,577.01953125,6062.42578125,3919.19921875,19710.4765625,12415.40234375
1569.12109375,6061.3359375,368.0234375,5043.31640625,573.72265625,6062.42578125,3899.1796875,19710.4765625,12422.3046875
1569.12890625,6061.3671875,368.03515625,5043.31640625,569.5546875,6062.42578125,3910.31640625,19710.4765625,12398.25390625
1569.1640625,6061.3984375,368.03515625,5086.234375,559.30078125,6062.42578125,3913.6484375,19710.4765625,12426.92578125
1569.1640625,6061.3984375,368.04296875,5043.31640625,552.78515625,6062.42578125,3943.421875,19710.4765625,12497.234375
1569.171875,6061.4296875,368.03125,5043.31640625,544.52734375,6062.42578125,3979.3125,19710.4765625,12521.4453125
1569.17578125,6061.4296875,368.03515625,5043.31640625,535.51171875,6062.42578125,3979.828125,19710.4765625,12520.8359375
1569.1796875,6061.4296875,368.02734375,5043.31640625,524.4921875,6062.42578125,4017.25390625,19710.4765625,12497.0625
1569.1796875,6061.4296875,368.04296875,5043.31640625,512.96875,6062.42578125,4019.2890625,19710.4765625,12477.9921875
1569.18359375,6061.4296875,368.046875,5043.31640625,507.54296875,6062.42578125,4055.77734375,19710.4765625,12498.04296875
1569.18359375,6061.4296875,368.0390625,5043.31640625,492.7890625,6062.42578125,4057.41015625,19710.4765625,12499.21875
1569.1875,6061.4296875,368.04296875,5043.31640625,483.0078125,6062.42578125,4093.1875,19710.4765625,12521.05859375
1569.2421875,6061.4296875,368.03125,5043.31640625,471.984375,6062.42578125,4096.09375,19710.4765625,12520.07421875
1569.296875,6061.4765625,368.04296875,5043.31640625,469.12109375,6062.42578125,4127.05859375,19710.4765625,12544.8671875
1569.33203125,6061.4765625,368.03515625,5043.31640625,472.19140625,6062.42578125,4128.09765625,19710.4765625,12536.69921875
